"Mutual_Information","Mira_Score","Mean_Distance","Brownian_Covariate","GO"
0.00399893093341295,0.010036746191919,0.0349280854050439,0.043233165585965,"GO:0055114"
0.0377095402146232,0.0193705099402697,0.000708479837983318,0.00126013843710449,"GO:0045730"
0.043313495807512,0.0298071762484476,0.0112401519800221,0.00444019112151238,"GO:0019882"
0.000452959805553701,0.000200332673679801,2.03681836256041e-05,0.000452245468427963,"GO:0045058"
0.0469581709164704,0.0310950330900341,0.00928655673269845,0.0096982534232733,"GO:0048589"
0.0276712200565491,0.053776450144887,0.246719981474385,0.212756799587557,"GO:0007059"
0.00766174285734317,0.0148566899781448,0.0189679120255424,0.0110414828209736,"GO:0006413"
0.0368609895233875,0.050684684045166,0.130353928386456,0.108232345248909,"GO:0007163"
0.365301260729244,0.44940679369543,0.156565754300467,0.164132863652102,"GO:0008037"
0.407067262098875,0.618994361823219,0.492585584526823,0.503999433452526,"GO:0033059"
0.0849759754959702,0.0618682734279434,0.158375003931399,0.0719603798979713,"GO:0051301"
0.46044009464532,0.460132126162085,0.13804252502179,0.170133433401275,"GO:0007565"
0.103035175266266,0.086840650738682,0.00117772997704136,0.000221470472486797,"GO:0007618"
0.00428584435994459,0.00441102889585749,0.0250715887522687,0.0542679449213529,"GO:0001659"
0.023525228798825,0.0310659466501536,0.0878237035468272,0.147529410512521,"GO:0007585"
0.237640639869892,0.268271407929761,0.462273455038809,0.410775635802035,"GO:0007586"
0.439790875235191,0.460701651372553,0.0937896541198214,0.0872084555974568,"GO:0030534"
0.0178984927312116,0.00634270952049088,0.205761228285041,0.218478323511903,"GO:0030431"
0.000253952833001008,0.000191011038011595,0.0912923622271219,0.037052071863076,"GO:0051241"
0.00668762237416004,0.012012978055833,0.0318930461939885,0.0254780077230455,"GO:0007568"
0.03106338269841,0.00785202769814056,0.051735689115712,0.0700613436642983,"GO:0009791"
0.430729319216539,0.497140241974302,0.0615715231904528,0.0395183717149893,"GO:0019827"
0.00707078518075837,0.00815582323651195,0.0276072578926721,0.0117994198892797,"GO:0048066"
0.219820785352884,0.242677953191019,0.579491681762924,0.574095600922595,"GO:0007416"
0.00632819799695707,0.00405910777794686,0.215918235238356,0.262122978793704,"GO:0007622"
